Sr. no.,question__description,answer,gpt-5.2,,claude-sonnet-4.5,,gemini-2.5-flash,,deepseek-v3.2,,qwen3-coder,,gpt-oss-120b,
52,"Write a Python Script that will take 3 character month code(Lower or Upper Case) from the user (with empty prompt).
<br>
Create a mapping from 3 character month name to
month number.
For Example {’jan’: 1, ’dec’: 12}
<br>
<br>
Print the month number corresponding to the
month the user entered.
<br><br>
Example
<pre>
Input
Jul

Output
7
</pre>","def month_string_to_number(string):
    m = {
        'jan': 1,
        'feb': 2,
        'mar': 3,
        'apr':4,
         'may':5,
         'jun':6,
         'jul':7,
         'aug':8,
         'sep':9,
         'oct':10,
         'nov':11,
         'dec':12
        }
    s = string.strip()[:3].lower()

    try:
        out = m[s]
        return out
    except:
        raise ValueError('Not a month')
print()",J,J,J,A,J,J,C,J,N,A,I,A
53,"Write a python script which will -
<li>Take an <code><b>integer</b></code> from the user as <b>input</b></li>
<li><b>Print</b> the <b>multiplication table</b> of that integer till 10</lI>

<br/>
<br/>
<b>For example :-</b>
<br/>
<pre>
<ol>
<li>For given input integer -
<b>3</b>
The output should be - 
<b>3 x 1 = 3</b>
<b>3 x 2 = 6</b>
<b>3 x 3 = 9</b>
<b>3 x 4 = 12</b>
<b>3 x 5 = 15</b>
<b>3 x 6 = 18</b>
<b>3 x 7 = 21</b>
<b>3 x 8 = 24</b>
<b>3 x 9 = 27</b>
<b>3 x 10 = 30</b>
</li>
</pre>
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/LNoYm2gPB3k"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>","def multiplication_table():
    # Take input from the user
    try:
        number = int(input(""Enter an integer: ""))
    except ValueError:
        print(""Invalid input! Please enter an integer."")
        return

    # Generate and print the multiplication table
    print(f""Multiplication table for {number}:"")
    for i in range(1, 11):
        print(f""{number} x {i} = {number * i}"")

if __name__ == ""__main__"":
    multiplication_table()",B,B,B,B,N,N,E,N,N,N,B,N
54,"Write a python script which will take an <b>integer n</b> from the user as input, where <b> n >= 2</b><br/>
Use a <b>while</b> loop to print <b>n numbers uniformly </b>spaced between 0 and 1. Include 0 and 1 while printing.
<br/>
<br/>
<b>For example:</b>
<pre>
<ol>
<li>For given input integer -
<b>3</b>
The output should be - 
<b> 0.0 </b>
<b> 0.5 </b>
<b> 1.0 </b>
</li><br/>
<li>For given input integer-
<b>5</b>
The output should be - 
<b>0.0</b>
<b>0.25</b>
<b>0.5</b>
<b>0.75</b>
<b>1.0</b>
</li>
</ol>
</pre>
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/hD3vQSoNnEA"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>","def print_uniform_numbers():
    """"""Prints n uniformly spaced numbers between 0 and 1.""""""
    try:
        n = int(input())
        if n < 2:
            print(""n must be greater than or equal to 2."")
            return

        i = 0
        while i < n:
            print(round(i / (n - 1), 2), end="" "")
            i += 1
        print()

    except ValueError:
        print(""Invalid input. Please enter an integer."")

print_uniform_numbers()",B,B,B,B,B,B,N,D,B,B,B,B
55,"Write a function called <code>secondlargest(lst)</code> that accepts a list of integers 
<br><br>
The function should return the second largest integer in the list lst.
<br><br>
Example
<b></b>
<pre>
Input
[7, 3, 4, 6, 2, 8]

Output

7
</pre>
<b>Note: Please write a function and return the desired result. DO NOT USE PRINT or STANDARD OUTPUT</b>","def print2largest(arr, arr_size):
          if (arr_size < 2):   
                print("" Invalid Input "")
                return
arr.sort
for i in range(arr_size-2,-1, -1):

                                          if (arr[i] != arr[arr_size - 1]) :
                                               
                                                  print(""The second largest element is"",arr[i])
                                                  return
                                                
                                                  print(""There is no second largest element"")
                                                   
                                                    # Driver code
                                                    arr = [1,2,5,6,8,9]
                                                    n = len(arr)
                                                    print2largest(arr, n)",IN,I,D,I,J,J,J,J,J,J,F,D
56,"Write a function called <b>second_max</b> that can be called with any number of arguments, minimum of two.  <b>second_max</b> should return second maximum of all the given numbers.","def print2largest(arr,arr_size): 
  if (arr_size < 2): 
	print("" Invalid Input "") 
	return
	
   first = second = -2147483648
   for i in range(arr_size): 
      if (arr[i] > first): 
        second = first 
        first = arr[i] 
	  elif (arr[i] > second and arr[i] != first): 
        second = arr[i] 
    if (second == -2147483648): 
		print(""There is no second largest element"") 
	else: 
		print(""The second largest element is"", second) 
arr = [12, 35, 1, 10, 34, 1] 
n =len(arr) 
print2largest(arr, n) 

",J,J,I,J,I,I,I,I,J,J,J,I
57,"Write a Python script which will accept a string <b>(the string can be Upper case or Lower case)</b> as a user input <b>(Please do not add any prompt while taking input)</b>
<br/>
Print the reverse of the string in lower case.
<br/>
For Example:-
<pre>
Input
Hello

Output
olleh
</pre>","def process_string(input_string):
    """"""
    Converts a string to a sorted list of unique characters.

    Args:
        input_string: The string to process.

    Returns:
        A sorted list of unique characters.
    """"""
    char_list = list(input_string)
    char_list.sort()

    unique_list = []
    for char in char_list:
        if char not in unique_list:
            unique_list.append(char)

    return unique_list

# Get input from the user
user_input = input()

# Process the string and print the result
result = process_string(user_input)
print(result)",J,J,J,J,J,J,J,J,J,J,J,J
58,"Write a function <code>read_file</code> which will not take any argument.
<br/>
Read the <b>pendulum.txt</b> file.
<br/>
Copy the second column alone to another file
called <b>col2.txt</b>
<br/>
Remember to add a newline.<br>
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/hdXfZOn9Tsw"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>","def prompt(name):
    print(f""Hello {name}"")

def add(a, b):
    return a + b

def is_even(num):
    return num % 2 == 0

def even_square(num):
    return (num % 2 == 0, num ** 2)

def greet(name, message=""Hello""):
    return f""{message} {name}""

def to_lower(strings):
    return [s.lower() for s in strings]

def fib(n=8):
    fib_sequence = [0, 1]
    for _ in range(n - 2):
        fib_sequence.append(fib_sequence[-1] + fib_sequence[-2])
    return fib_sequence[:n]

def power2():
    return lambda x: 2 ** x

def apply(f, data):
    return [f(x) for x in data]

def largest(file):
    return max(map(float, file.read().split()))

def read_file():
    with open(""pendulum.txt"", ""r"") as infile, open(""col2.txt"", ""w"") as outfile:
        for line in infile:
            columns = line.split()
            if len(columns) > 1:
                outfile.write(columns[1] + ""\n"")
",N,N,N,N,N,N,J,J,N,N,N,N
59,"Define a function called <code>power2()</code> which takes
no argument.
<br/>
It should return a function which takes a single
argument x but returns {2^x}.
<br/>
For example:
<pre>
In []: f = power2()
In []: f(2)
Out[]: 4
In []: power2()(4)
Out[]: 16
</pre>
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/4lJqVlLwrfU"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>","
def power2():
    return lambda x: 2 ** x
  ",N,N,N,N,N,N,N,N,N,N,N,N
60,"Write a function <code>remove_vowels(arg)</code> which will take one string argument.
<br>
Return a string with all vowels removed from the argument string
<br>
The function should be case sensitive.
<br><br>
For Example:<br><code>remove_vowels(""Hello"")</code> should return <code>""Hll""</code><br>

Note: You do not have to print the value. You have to return the value.","def remove_vowels(string str):
   
{ 
    vector<char> vowels = {'a', 'e', 'i', 'o', 'u', 
                           'A', 'E', 'I', 'O', 'U'}; 
      
    for (int i = 0; i < str.length(); i++)  
    { 
        if (find(vowels.begin(), vowels.end(), 
                      str[i]) != vowels.end())  
        { 
            str = str.replace(i, 1, """"); 
            i -= 2; 
        } 
    } 
    return str; 
} 
  
// Driver Code 
int main()  
{ 
    string str = ""GeeeksforGeeks - A Computer""
                 "" Science Portal for Geeks""; 
    cout << remVowel(str) << endl; 
  
    return 0; 
} ",J,J,J,I,J,J,J,J,J,I,I,I
61,"Write a function <code>is_palindrome(arg)</code> which will take one argument. Argument passed can be a number or a string. You have to check if the passed argument is a palindrome or not. Return true if the argument is palindrome & false otherwise.
<br><br>
For Example:
<br>
<code>is_palindrome(""Hello"")</code> should return <code>False</code>
<br>
<code>is_palindrome(333)</code> should return <code>True</code>
<br><br>
Note: Please note that you do not have to print anything in the function. You just have to return the expected output. Also, do not make function calls. The function name that you define should be exactly as specified.","def rev_str(s): 
    return s[::-1]

def rev_num(num):
  temp=num
  rev=0
  while num>0:
    digit=num%10
    rev=rev*10+digit
    num=num//10
  if temp==rev:
    return True
  else:
    return False
  
def is_palindrome(s): 
    if type(s)==int or type(s)==float:
      if rev_num(s):
        return True
      else:
        return False
        
    else:
      str=rev_str(s)
      if str==s:
        return True
      else:
        return False


",E,D,E,E,J,I,J,D,D,D,D,E
62,"Write a python script that accepts a <b>list of integers</b> separated by spaces.<br>
Convert this into a list of integers but square each element.<br>
Print this list.
<br><br>
Example:
<pre>
Input:
1 2 3 4

Output:
[1, 4, 9, 16]
</pre>
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/zvstVE9M2j4"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>","def square_elements_in_list():
    """"""
    Accepts a space-separated string of integers, converts them to a list,
    squares each element, and prints the resulting list.
    """"""
    input_string = input(""Enter a list of integers separated by spaces: "")

    # Split the input string by spaces and convert each part to an integer
    # Using a list comprehension for conciseness
    try:
        integer_list = [int(x) for x in input_string.split()]
    except ValueError:
        print(""Invalid input. Please enter only integers separated by spaces."")
        return

    # Square each element in the list using a list comprehension
    squared_list = [x ** 2 for x in integer_list]

    # Print the squared list
    print(squared_list)

if __name__ == ""__main__"":
    square_elements_in_list()
    ",B,B,B,N,N,N,N,N,N,N,B,N
63,"Write a function called <code>strip_string</code> that takes a string
and strips out all characters except:
a-z, A-Z, 0-9, underscore and the forward slash.
All other characters are to get removed and replaced by underscore.
<br><br>
In the replaced version, no consecutive multiple underscores should exist.
<br><br>
Note: You do not have to print the values but return the values.
<br>
<b>
 For example,</b>
<br>
<pre>>>> strip_string(""Ab 4/5        (t) "")
 ""Ab_4/5_t_""
</pre>
<br>
<pre>>>> strip_string(""AB___cd@#   E"")
""AB_cd_E""</pre>
</b>","def strip_string(arg):
  allowed_characters = set(""abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789_/"")
  cleaned_string = """"
  previous_char = None
  for char in arg:
      if char in allowed_characters:
            cleaned_string += char
            previous_char = char
      elif previous_char != ""_"":
            cleaned_string += ""_""
            previous_char = ""_""
  return cleaned_string
print(strip_string(""Ab 4/5        (t) ""))  
print(strip_string(""AB___cd
",E,E,N,J,G,J,D,J,D,D,E,E
64,"Modify decorator <b>greet</b> to print ""goodbye"" after executing the function.
<br/>
<b>For example:</b>
<pre>
<b>Input:</b>
f(1)
<b>Output</b>
Hello
1
goodbye
</pre>
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/ci4XwTwlyWc"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>","from functools import wraps

def greet(func):
    @wraps (func)
    def new_func( *args,  **kwargs):
        print (""Hello"")
        x=  func (*args,  **kwargs)
        print(""goodbye"")
        return x
    return new_func
from functools import wraps

def greet(func):
    @wraps (func)
    def new_func( *args,  **kwargs):
        print (""Hello"")
        xresult=  func (*args,  **kwargs)
        print('goodbye')
        return xresult
    return new_func
@greet
def f(x):
  print (x)",N,J,N,N,N,N,N,N,N,N,N,N
65,"Write a decorator called <strong> deco</strong>
<br>

Decorate a function called <strong>test </strong>
<br>
The decorated function should take an argument and add 1 to it.
<br>
Hint: Python version 3. Use all the function names given as it is, the argument will be int.","from functools import wraps
def deco(func=None,message='Hello'):
    def wrapper(func):
        @wraps(func)
        def nf(*arg,**kw):
            print(message+func.__name__)
            return func(*arg,**kw)
        return nf
    if func is None:
        return wrapper
    else:
        return wrapper(func)

# do not change the code below

@deco(message=1)
def test(x):
    print(x)
f = int(input())
test(f)
",J,J,D,D,I,C,D,D,D,D,D,C
66,"Write a <code>Point</code> class with two instance attributes <code>x, y</code>. Make it possible to add and subtract two points. Also allow <code>abs()</code> to be callabe on a point.<br><br>
<b>For example: </b><br>
<pre>
<b>Input: </b><br>
p1 = Point(1, 2)
p2 = Point(1, 0)
p = p1 + p2
p.x, p.y
abs(p)<br>
<b>Output: </b><br>
(2, 2)
2.8284271247461903
</pre>
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/mwEtKNVCu-Q"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>","from math import sqrt

class point:
    def __init__(self,x=0,y=0):
        self.x=x
        self.y=y
    def __add__(self,other):
        return point(self.x+ other.x, self.y+ other.y)
    def __sub__(self,other):
        return point(self.x - other.x, self.y- other.y)
    def __abs__(self):
        return sqrt(self.x*self.x+self.y*self.y)
      
p1= point(1,2)
p2= point(1,0)
p= p1 +p2
p.x , p.y

abs(p)

    ",J,J,C,C,N,N,N,N,N,N,J,N
67,"Create a three dimensional <code>Vector</code> class which takes three
components and supports the following operations:
<br><br>
 - Instantiate a vector with components as positional arguments <code>Vector(1,
   0, 0)</code> or keyword args <code>Vector(x=1, y=0, z=1)</code>.
<br><br>
 - Instantiate a vector with default components = 0, i.e. one should be able
   to instantiate the vector as <code>a = Vector()</code> or <code>a =
   Vector(x=0)</code>.
<br><br>
 - The components of the vector should be accessible as <code>v.x, v.y,
   v.z</code> and must be stored as floating point numbers.
<br><br>
 - The class should support the addition of two vectors with the + symbol to
   produce a new vector with the sum of the components.
<br><br>
 - Multiplication by a scalar to scale all three components, i.e., the code
   <code> a = Vector(1,1,1); b = 0.1*a</code> should work.
<br><br>
 - Printing the vector, <code>a = Vector(1, 1, 1)</code> should produce
   exactly the text <code>""Vector(1.0, 1.0, 1.0)""</code>, i.e.
   <code>str(a)</code> and <code>repr(a)</code> should produce this.
<br><br>
 - The following methods:
<br><br>
    - <code>v.norm()</code> to return the norm of the vector, i.e. the
      Euclidean length of the vector.
<br><br>
    - <code>a.dot(b)</code> to return the dot product, <code>a &#183; b</code>.
<br><br>
    - <code>a.cross(b)</code> to return the cross product, a &#215; b as a
      vector.","import math

class Vector:
    def __init__(self,x=0,y=0,z=0):
        self.x=float(x)
        self.y=float(y)
        self.z=float(z)
    
    def __add__(self,other):
        X=self.x+other.x
        Y=self.y+ other.y
        Z=self.z+ other.z
        obj=Vector(X,Y,Z)
        return obj
    def __mul__(self,other):
        X=self.x * other
        Y=self.y * other
        Z=self.z * other
        obj=Vector(X,Y,Z)
        return obj
    
    def norm(self):
        # agar answer galat aaye to sqrt X return karo
        X=self.x**2 + self.y**2 + self.z**2
        return X
    
    def dot(self,other):
        X=self.x * other.x
        Y=self.y * other.y
        Z=self.z * other.z
        return X+Y+Z
    
    def cross(self,other):
        X=self.y* other.z - other.y * self.z
        Y=self.z* other.x - other.z * self.x
        Z=self.x* other.y - other.x * self.y
        obj=Vector(X,Y,Z)
        return obj
    
    def __str__(self):
        return f""Vector({self.x}, {self.y}, {self.z})""
    
    def __repr__(self):
        return f""Vector({self.x}, {self.y}, {self.z})""
",D,I,D,D,D,D,D,D,D,D,B,D
68,"Write a Python script that accepts an integer <b>n</b> as input. Use numpy’s linspace to create n points from 1 to 2
<br>
The script must print each value from the array in a separate line.
<br><br>
For Example;
<pre>
<b>Input</b>
3
<b>Output:</b>
1.0
1.5
2.0
</pre>
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/woAbApWFYoo"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>","import numpy as np

def generate_and_print_linspace_points():
    """"""
    Accepts an integer n, generates n points from 1 to 2 using numpy.linspace,
    and prints each value on a separate line.
    """"""
    try:
        n_str = input(""Enter an integer (n): "")
        n = int(n_str)

        if n <= 0:
            print(""Please enter a positive integer for n."")
            return

        # Create n evenly spaced points from 1 to 2
        points = np.linspace(1, 2, n)

        # Print each value from the array in a separate line
        for point in points:
            print(point)

    except ValueError:
        print(""Invalid input. Please enter an integer."")

if __name__ == ""__main__"":
    generate_and_print_linspace_points()",B,B,B,B,N,N,N,N,N,N,B,B
69,"<p>Write a function <code>chop(l,a,b)</code>. <code>l</code>&nbsp; can be a list or a numpy array. <code>a</code> and <code>b</code> are numbers. The function should return a numpy array between a and b without including a and b.&nbsp;&nbsp;</p>
<p>Note that <code>a</code> need not be larger than <code>b</code>, the result should be the same if <code>a&gt;b</code> or <code>b&gt;a</code>.</p>
<p>For example, if <code>l = np.arange(7)</code>, then <code>chop(l,1,5)</code> should return the numpy array&nbsp;<code>[2,3,4]</code>.</p>","import numpy as np
def chop(l,a,b):
    le=len(l)
    X=[]
    for j in range (0,le-1):
        for i in range (0,le-1):
         if l[i]>l[i+1]:
            b=l[i]
            l[i]=l[i+1]
            l[i+1]=b

    if a<b:
        for i in range(0,le):
            if l[i]<b and l[i]>a:
                X.append(l[i])
    else:
        for i in range (0,le):
            if l[i]>b and l[i]<a:
                X.append(l[i]) 
    return np.array(X)                   
    ",C,C,C,C,J,J,J,J,J,J,C,C
70,"Write a python script that accepts an integer <b>n</b>as user input (with empty prompt)
<br>
The script must print an <b>n x n</b> matrix where each entry is the sum of the <b>row number and column number</b>
For example;
<pre>
<b>Input:</b>
3
<b>Output:</b>
0 1 2
1 2 3
2 3 4
</pre>
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/phiDj62QGu4"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>","import sys


def generate_matrix(n):
    """"""
    Generate an n x n matrix where each entry is the sum of its row and column numbers.
    
    Args:
        n (int): The size of the matrix.
    
    Returns:
        list[list[int]]: The generated matrix.
    """"""
    return [[i + j for j in range(n)] for i in range(n)]


def print_matrix(matrix):
    """"""
    Print a matrix in a readable format.
    
    Args:
        matrix (list[list[int]]): The matrix to print.
    """"""
    for row in matrix:
        print(' '.join(str(x) for x in row))


def main():
    # Get user input
    n = int(sys.stdin.readline().strip())
    
    # Generate and print the matrix
    matrix = generate_matrix(n)
    print_matrix(matrix)


if __name__ == ""__main__"":
    main()",N,N,N,N,N,N,N,N,N,N,N,N
71,"Write a Python Script which accepts an integer start value and an integer end values (separated by a space, for example: 4 8 represents 4, 5, 6, 7, 8) as user input <b>(Please do not add any prompt while taking input).</b>
<br><br>
For Example
<pre>
Input
2 15 {Range of values is 2,3,4,5,6,7,8,9,10,11,12,13,14,15}
</pre>
<br/>
Find all such numbers which are divisible by 7 but are not a multiple of 5 between start and end values.
<br/>
Print the list of numbers (separated by spaces) including the start and end values.
<br/>
<pre>
Output
7 14
</pre>","import sys

def find_numbers(start, end):
    result = []
    for num in range(start, end + 1):
        if num % 7 == 0 and num % 5 != 0:
            result.append(num)
    return result

if __name__ == ""__main__"":
    # Read two integers from stdin (space separated), without any extra prompt
    line = sys.stdin.read().strip()
    if not line:
        # No input
        sys.exit(0)
    parts = line.split()
    if len(parts) != 2:
        # Unexpected input format
        sys.exit(0)
    start = int(parts[0])
    end = int(parts[1])
    out = find_numbers(start, end)
    # Print them space-separated
    if out:
        print("" "".join(str(x) for x in out))
",N,N,N,N,N,N,N,N,N,N,N,N
72,"Write a script that: 
<li>Accepts a single integer as input (Use an empty prompt)
<li>Squares this integer
<br><br>
The output should be the <b>number of digits</b> the squared integer has.
<br><br>
For Example:<br>
<pre>
<b>Input:</b>
8
<b>Output:</b>
2
</pre>
<pre>
<b>Input:</b>
14
<b>Output:</b>
3
</pre>
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/up7eKPQCMp4"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>","import sys

def get_square(number):
    return str(number * number)

def get_num_digits(number):
    return len(str(number)))

if __name__ == ""__main__"":
    if len(sys.argv) < 2:
        print(""Usage: python square.py <number>"")
        sys.exit(1)

    try:
        number = int(sys.argv[1])
        squared = get_square(number)
        print(get_num_digits(squared)))
    except ValueError:
        print(""Invalid input! Please enter a single integer."")
        sys.exit(1)",A,A,A,A,I,I,I,I,D,D,A,A
73,"Write a python script which will -
<li>Take an <code><b>integer</b></code> from the user as <b>input</b></li>
<li>If the number is positive, <b>print ""Positive""</b></li>
<li>If the number is negative, say <b> -10 print ""Negative of 10""</b></li>
<li>If the number is zero,<b> print ""Zero""</b></li>
<li>Finally, <b>print ""Done""</b>
<br/>
<br/>
<b>For example :-</b>
<br/>
<pre>
<ol>
<li>For given input integer -
<b>5</b>
The output should be - 
<b> Positive </b>
<b> Done </b>
</li>

<li>For given input integer -
<b>-25</b>

The output should be - 
<b> Negative of 25 </b>
<b> Done </b>
</li>
<li>For given input integer -
<b>0</b>
The output should be - 
<b> Zero </b>
<b> Done </b>
</li>
</pre>
<b>Note :-</b>
<pre>
<i>
<li>While using the input function, please use an <b>empty prompt.</b></li>
</i>
</pre>","import time

# square root function
from math import sqrt

# time at the start of program execution
start = time.time()

# function to calculate the continued fraction
def cf(n):
    mn = 0.0
    dn = 1.0
    a0 = int(sqrt(n))
    an = int(sqrt(n))
    convergents = [a0]
    period = 0
    if a0 != sqrt(n):
        while an != 2*a0:
            mn = dn*an - mn
            dn = (n - mn**2)/dn
            an = int((a0 + mn)/dn)
            convergents.append(an)
    return convergents[:-1]

def cf_inv(cf):
    """"""
    function to calculate the
    simple fraction from the continued
    fraction.
    """"""
    numerator = 1
    denominator = cf.pop()
    while cf:
        denominator, numerator = denominator*cf.pop() + numerator, denominator
    return denominator, numerator

# variable to store the largest value 
# and the place it occurs
largest = 0, 0

# for loop less than 1000
for i in xrange(1, 1001):
    if i%sqrt(i) != 0:
        continued_fraction = cf(i)
        if len(continued_fraction) % 2 != 0:
            u, v = cf_inv(continued_fraction)
            u, v = 2*u**2+1, 2*u*v
        else:
            u, v = cf_inv(continued_fraction)
        if u > largest[1]:
            largest = i, u

# print the largest value
print largest[1]

# time at the end of program execution
end = time.time()

# total time taken to run the program
print end - start",J,J,J,J,J,J,J,J,J,J,J,J
74,"<p>Write a function called <code>rotatematrix(lst)</code> to rotate a matrix by 90 degress in left to right (clockwise) direction.
<p>The function will accept one argument which will be a list. The list will contain sub-lists that represent each row of the Matrix 
<p>
<p>The function must return a list of lists representing the rotated matrix as output.</p>
<b>Example:</b>
A list [[1,2,3], [3,4,5], [5,6,7]] represents a 3 * 3 matrix that looks like this:
<br><br>
1  2  3
<br>
3  4  5
<br>
4  5  6
</p>
<p>
The output of the Function will be another list of lists that represents the rotated matrix.
<br><br>
In the above example, the resulting rotated matrix will be [[4,3,1], [5,4,2], [6,5,3]] represents a 3 * 3 resulting matrix:
<br><br>
4  3  1
<br>
5  4  2
<br>
6  5  3
</p>","mat= [[1,2,3], [3,4,5], [5,6,7]];
def rotateMatrix(mat): 
  
    if not len(mat): 
        return
      
   
    top = 0
    bottom = len(mat)-1
  
    left = 0
    right = len(mat[0])-1
  
    while left < right and top < bottom: 
  
              prev = mat[top+1][left] 
  
        # Move elements of top row one step right 
        for i in range(left, right+1): 
            curr = mat[top][i] 
            mat[top][i] = prev 
            prev = curr 
  
        top += 1
  
        # Move elements of rightmost column one step downwards 
        for i in range(top, bottom+1): 
            curr = mat[i][right] 
            mat[i][right] = prev 
            prev = curr 
  
        right -= 1
  
        # Move elements of bottom row one step left 
        for i in range(right, left-1, -1): 
            curr = mat[bottom][i] 
            mat[bottom][i] = prev 
            prev = curr 
  
        bottom -= 1
  
        # Move elements of leftmost column one step upwards 
        for i in range(bottom, top-1, -1): 
            curr = mat[i][left] 
            mat[i][left] = prev 
            prev = curr 
  
        left += 1
  
    return mat 
",J,N,J,J,J,J,D,D,J,D,F,D
75,"Write a function <code>check_prime(n)</code> which will take an integer <code>n</code>  for <code> 2<= n <= 1000</code> and return <b> True</b> if the number <b>n</b> is prime else,<b> False </b>otherwise.</br>
<pre>
For example:

>>> check_prime(9)
False
>>> check_prime(19)
True
</pre>","prime_numbers = 0

def is_prime_number(x):
    if x >= 2:
        for y in range(2,x):
            if not ( x % y ):
                return False
    else:
	return False
    return True
	        

for i in range(int(raw_input(""How many numbers you wish to check: ""))):
    if is_prime_number(i):
        prime_numbers += 1
        print i

print ""We found "" + str(prime_numbers) + "" prime numbers.""",J,J,J,J,J,J,J,J,J,J,J,A
76,"Write a function <code>odd_even_sum(start, stop)</code> that accepts two integer arguments. <br><br>
The function must return a list containing two values. The first value of the list will be the sum of all the odd values between (and including) <b>start</b> and <b>stop</b>. The second value  of the list will be the sum of all the even values between (and including) <b>start</b> and <b>stop</b>.
<br><br>
<b>For Example:</b>
(Note: The values between 2 and 7 will be 2,3,4,5,6,7)
<pre>
>>> odd_even_sum(2, 7)
>>> (15, 12)
</pre>","raise
def func(x):
  if type(x) != int:
    raise TypeError(""Expected int"")
  elif x < 0:
    raise ValueError(""Got negative int"")
6 Catching Exceptions

def safe_run(f, x):
    try:
        f(x)
    except ValueError:
        return ""ValueError""
    except TypeError:
        return ""TypeError""
    else:
        return ""OK""


7 Digits of an Integer 1


8 Reading From a File 

def largest(f):
    res = -1e20
    for line in f:
        for field in line.split():
            res = max(res, float(field))
    return res


",NONE,J,J,J,J,J,J,J,J,J,J,J
77,"Write a function <code>reverse_append(arg)</code> which will take one argument(can also be a list).
<br>
Return the original + reverse of the argument.
<br>
<br><br>
For Example:<br><code>reverse_append([1, 2, 3])</code> should return <code>[1, 2, 3, 3, 2, 1]</code><br>

Note: You do not have to print the value. You have to return the value.","reverse = 0
def integer_reverse(number):
    global reverse
    
    if(number > 0):
        Reminder = number % 10
        reverse = (reverse * 10) + Reminder
        integer_reverse(number // 10)
    return reverse


number = int(input(""Please Enter any Number: ""))

rev = integer_reverse(number)
print(""Reverse of a Given number is = %d"" %rev)

if(number == rev):
    print(""%d is a Palindrome Number"" %number)
else:
    print(""%d is not a Palindrome Number"" %number)",J,J,J,J,J,J,J,J,J,J,J,J
78,"<p>Write a function called <code>remove_spaces(s)</code> that accepts a string as an argument. <br /><br />The function should remove all the UNWANTED SPACES! So the spaces at the start and end are completely removed. If there is a space between words then it should be kept as it is. If there are multiple spaces between words then it should be replaced by one space only. <br />The function should return the modified new string. <br /><br />Example</p>
<pre>Input to the function
<code>remove_spaces('  Hello    Hi!')</code> <br />Return value by the function <br />'Hello Hi!'</pre>
<p><strong>Note: Please write a function and return the desired result. DO NOT USE PRINT or STANDARD OUTPUT</strong></p>","str='Hello Hi!'
def removespace(string):
 
    # To keep track of non-space character count
    count = 0
 
    list = []
 
    # Traverse the given string. If current character
    # is not space, then place it at index 'count++'
    for i in xrange(len(string)):
        if string[i] != ' ':
            list.append(string[i])
 
    return toString(list)
 
# Utility Function
def toString(List):
    return ''.join(List)
 
# Driver program
string = ""   hello   hi! ""
print removespace(string):





",D,J,J,J,J,J,J,J,J,J,D,D
79,"Write a function called <code>oddsum(s)</code> that accepts a non-empty integer list as an argument.
<br><br>
The function should return the sum of all the odd numbers in the list.
<br><br>
Example
<b></b>
<pre>
Input to the function
<code>oddsum([1, 2, 3, 1, 4])</code>
Return value by the function
5
</pre>
<b>Note: Please write a function and return the desired result. DO NOT USE PRINT or STANDARD OUTPUT</b>","try :
  

  s=[]
  Number=int(input(""Enter the total number of list elements:""))
  for i in range(1,Number+1):
    value=int(input(""Please Enter the valid value of %d element:""%i))
    s.append(value)
  def oddsum(s):
    Odd_sum=0
    for j in range(Number):
      if(s[j] % 2 != 0):
        Odd_sum=Odd_sum+s[j]
    return Odd_sum
  Odd_sum=oddsum(s)
  print(""The sum of odd numbers in this list:"",Odd_sum)

except EOFError as e:
  print (""Eof error"")

",J,J,C,I,J,I,J,J,J,J,J,B
